Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-d3-arrays-shim,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-d3-charts,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-d3-components,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-d3-helpers,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-d3-scale,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-daily-drip-feed,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-dashboard-controls,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-data,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-data-1-13-should-reload-behavior,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.66666
ember-data-2-x-should-reload-behavior,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.66666
ember-data-array-transform,3.75,4.375,5.0,5.71428,5.71428,6.25,6.25,6.17283,6.21118,6.30303
ember-data-autoreload,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-data-block,2.5,3.125,3.57142,4.28571,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-data-bootstrap3-forms,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.87878
ember-data-cascade-delete,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-change-tracker,10.0,10.0,10.0,10.0,10.0,8.75,8.75,8.76543,8.75776,8.54545
ember-data-complex,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-data-contentful,5.0,5.625,6.42857,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-data-copyable,8.75,8.75,9.28571,9.28571,9.28571,8.125,8.125,8.14814,8.13664,8.18181
ember-data-date-only-transform,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-data-drupal,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-data-echonest,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-endpoints,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.125,3.08641,3.10559,3.27272
ember-data-factory-guy,10.0,10.0,10.0,10.0,10.0,8.75,8.75,8.76543,8.75776,8.78787
ember-data-fastboot,2.5,2.5,2.85714,3.57142,3.57142,4.375,4.375,4.44444,4.40993,4.30303
ember-data-fastboot-route,2.5,2.5,2.85714,2.85714,1.42857,2.5,2.5,2.59259,2.54658,2.48484
ember-data-fetch-support,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-filter,2.5,2.5,2.14285,2.14285,2.14285,3.125,3.125,3.08641,3.10559,3.27272
ember-data-fixture-adapter,7.5,7.5,7.85714,7.85714,7.85714,6.875,6.875,6.79012,6.83229,6.90909
ember-data-github,5.0,6.0,6.85714,8.0,8.0,8.25,8.25,8.2716,8.26086,8.0606
ember-data-hal-9000,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-data-hal-adapter,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-data-has-many-query,8.75,8.75,9.28571,9.28571,9.28571,8.125,8.125,8.14814,8.13664,7.93939
ember-data-has-many-through,5.0,5.0,5.0,5.0,5.0,4.375,4.375,4.44444,4.40993,4.54545
