Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-addon-genie,7.5,7.5,8.57142,8.0,8.0,7.0,6.375,6.41975,6.39751,6.24242
ember-addon-semantic-release-travis,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.45454
ember-addon-starterkit,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-addon-state-bucket,5.0,5.0,5.0,5.0,5.0,4.375,4.375,4.32098,4.34782,4.24242
ember-addon-viewer,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.21212
ember-addons-inspector,5.0,5.0,5.71428,6.42857,6.42857,6.875,6.25,6.29629,6.27329,6.36363
ember-adjustable-number,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-admin,6.25,6.25,6.42857,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.33333
ember-admin-bootstrap,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-adminlte-components,2.5,2.5,2.85714,2.85714,1.42857,2.5,2.5,2.59259,2.54658,2.48484
ember-adminlte-theme,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-advanced-combobox,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-advanced-form,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-advanced-validations,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-aframe-camera-extras,6.25,7.25,8.28571,8.28571,6.85714,6.0,6.0,6.04938,6.02484,5.87878
ember-aframe-shim,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-ag-grid,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-aggr-heatmap,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-ahoy,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-airtable,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-ajax,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-algolia,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-alias-cps,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-allpurpose,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.24223,1.24223,1.45454
ember-ambitious-forms,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-amount-input,7.5,7.5,8.57142,8.57142,8.57142,7.5,7.5,7.4074,7.45341,7.51515
ember-analytics,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-analytics-tracker,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-anchor,7.5,7.5,8.57142,8.57142,8.57142,7.5,6.875,6.91358,6.8944,6.96969
ember-angle-bracket-invocation-polyfill,8.75,8.75,9.28571,9.28571,9.28571,8.125,8.125,8.02469,8.07453,8.12121
ember-animatable,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-animate,3.75,3.75,3.57142,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.0909
ember-animated-headline,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-animated-outlet-mobile,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,5.06172,5.03105,5.15151
ember-animated-status-label,5.0,5.625,6.42857,7.14285,5.71428,6.25,6.25,6.29629,6.27329,6.36363
ember-animation-box,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-animejs,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-animejs-shim,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-animejs2,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-annotative-models,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-anychart,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.125,3.20987,3.1677,3.33333
ember-aphrodite-local-styles,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-api-actions,8.75,9.75,9.71428,9.71428,9.71428,8.5,8.5,8.51851,8.50931,8.30303
ember-api-feature-flags,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-api-requests,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-api-store,6.25,6.25,7.14285,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.57575
ember-apijax,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-apollo-client,10.0,10.0,10.0,10.0,10.0,8.75,8.75,8.76543,8.75776,8.78787
ember-app-notice,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-app-scheduler,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.39393
ember-app-shell,2.5,3.125,3.57142,4.28571,4.28571,5.0,5.0,4.93827,4.96894,4.84848
ember-app-version,2.5,3.5,4.0,5.14285,3.71428,3.25,3.25,3.33333,3.29192,3.45454
ember-appboy,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-appmetrics,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-aqua-window,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-arcgis-portal-components,6.25,7.25,8.28571,8.28571,8.28571,8.5,8.5,8.51851,8.50931,8.54545
ember-arcgis-portal-services,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-arcgis-server-services,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-argument-decorators,5.0,5.0,5.0,6.14285,6.14285,5.375,5.375,5.30864,5.34161,5.21212
ember-aria,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-aria-accordion,3.75,4.75,5.42857,6.57142,6.57142,5.75,5.75,5.80246,5.77639,5.87878
ember-aria-checkbox,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.80246,5.77639,5.87878
ember-aria-multi-thumb-slider,5.0,5.625,6.42857,7.57142,6.14285,5.375,5.375,5.43209,5.40372,5.51515
ember-aria-slider,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-aria-switch,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-array-computed-macros,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-array-contains-helper,6.25,6.25,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-array-helper,6.25,7.25,7.57142,8.71428,7.28571,6.375,6.375,6.41975,6.39751,6.48484
ember-artisans,3.75,4.75,5.42857,5.42857,4.0,3.5,3.5,3.58024,3.54037,3.69696
ember-aspect-ratio-image,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-aspnet-csrf,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-asset-loader,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.15151
ember-assign-helper,3.75,4.375,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-assign-polyfill,6.25,7.25,7.57142,8.71428,8.71428,7.625,7.0,7.03703,7.01863,7.0909
ember-ast-hot-load,7.5,7.5,8.57142,8.57142,8.57142,7.5,7.5,7.53086,7.51552,7.33333
ember-async-action-container,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-async-await-for-each,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-async-await-helper,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.67901,5.71428,5.57575
ember-async-button,6.25,6.25,6.42857,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.57575
ember-async-image,6.25,7.25,7.57142,8.71428,7.28571,6.375,6.375,6.41975,6.39751,6.24242
ember-async-let,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-async-shim,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.66666
ember-async-to-generator,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-async-tooltips,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-at-js,3.75,3.75,3.57142,4.71428,4.71428,4.125,4.125,4.19753,4.16149,4.0606
ember-attachable,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
ember-attacher,6.25,7.25,7.57142,8.71428,8.71428,8.875,8.875,8.88888,8.88198,8.66666
ember-attrs-validations,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-audio,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-audio-visualizer,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.7037,3.7267,3.87878
ember-aupac-cascading-select,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-aupac-control,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-aupac-db-reverse-engineering,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-aupac-mocks,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-aupac-typeahead,5.0,5.625,6.42857,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-auth-engine,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-auth0-shim,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,5.15151
ember-authenticate-me,2.5,2.5,2.85714,3.57142,3.57142,4.375,4.375,4.32098,4.34782,4.24242
ember-authr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-auto-focus,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-auto-import,8.75,8.75,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-auto-remove-jquery-events,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-auto-save,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-autolinker,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-autolinkify,2.5,3.125,3.57142,3.57142,3.57142,3.125,3.125,3.08641,3.10559,3.27272
ember-autoresize,6.25,6.875,6.42857,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-autosave,6.25,7.25,8.28571,8.28571,8.28571,7.25,6.625,6.66666,6.64596,6.72727
ember-autoserve,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-autox-support,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-aviary,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-awesome-datatable,2.5,3.125,3.57142,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-awesome-macros,10.0,10.0,10.0,10.0,10.0,8.75,8.75,8.76543,8.75776,8.78787
ember-awesome-notifications,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-axe,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-background-video,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-backoff,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-baidu-map,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-balloon-tooltip,7.5,7.5,7.85714,7.85714,7.85714,6.875,6.875,6.79012,6.83229,6.90909
ember-baremetrics-calendar,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-barista,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-basic-button,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-basic-charts,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-basic-dropdown,10.0,10.0,10.0,10.0,10.0,8.75,8.75,8.64197,8.69565,8.72727
ember-basic-dropdown-hover,3.75,3.75,3.57142,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.0909
ember-batch-request,3.75,3.75,4.28571,4.28571,4.28571,5.0,4.375,4.44444,4.40993,4.30303
ember-batcher,5.0,5.625,6.42857,7.57142,6.14285,5.375,5.375,5.43209,5.40372,5.51515
ember-bem-sauce,2.5,3.125,3.57142,3.57142,3.57142,3.125,3.125,3.08641,3.10559,3.0303
ember-best-language,6.25,7.25,8.28571,8.28571,8.28571,7.25,6.625,6.66666,6.64596,6.72727
ember-better-errors,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-better-popup,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-bind-helper,7.5,7.5,8.57142,8.57142,7.14285,7.5,7.5,7.53086,7.51552,7.57575
ember-binding-macros,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-blink,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-block-params-polyfill,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-block-slots,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.625,5.67901,5.65217,5.75757
ember-blockly,2.5,3.5,4.0,5.14285,3.71428,4.5,4.5,4.44444,4.47204,4.36363
ember-blog,3.75,3.75,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-blog-rss-feed-timeline,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-blogy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-blueprint-data,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-bluetooth,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.625,5.55555,5.59006,5.45454
ember-blur-up,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-body-class,6.25,7.25,7.57142,8.71428,8.71428,8.875,8.25,8.2716,8.26086,8.30303
ember-body-class2,7.5,7.5,8.57142,8.57142,8.57142,7.5,6.875,6.91358,6.8944,6.96969
ember-boolean-helper,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-bootstrap,10.0,10.0,10.0,10.0,10.0,8.75,8.75,8.76543,8.75776,8.78787
ember-bootstrap-4,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-bootstrap-changeset-validations,5.0,7.5,8.57142,8.57142,8.57142,7.5,6.875,6.91358,6.8944,6.96969
ember-bootstrap-colorpicker,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-bootstrap-components,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-bootstrap-confirm,1.25,2.25,2.57142,2.57142,2.57142,2.25,2.25,2.34567,2.29813,2.24242
ember-bootstrap-cp-validations,3.75,4.375,5.0,5.71428,4.28571,5.0,5.0,5.06172,5.03105,5.15151
ember-bootstrap-datepicker,5.0,5.625,6.42857,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-bootstrap-daterange,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-bootstrap-datetimepicker,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
ember-bootstrap-ds-error-validations,1.25,1.875,2.14285,2.14285,2.14285,1.875,1.875,1.9753,1.92546,2.12121
ember-bootstrap-floating-labels,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-bootstrap-form,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.45454
ember-bootstrap-hurry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-bootstrap-markdown,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-bootstrap-modals-manager,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-bootstrap-model-select,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-bootstrap-nav,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-bootstrap-nav-link,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-bootstrap-pagination,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.21212
ember-bootstrap-power-select,7.5,7.5,8.57142,8.57142,8.57142,7.5,6.875,6.91358,6.8944,6.96969
ember-bootstrap-sass,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-bootstrap-select,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-bootstrap-slim,1.25,1.875,2.14285,2.85714,2.85714,1.25,1.25,1.35802,1.30434,1.27272
ember-bootstrap-switch,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,2.12121
ember-bootstrap-table,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-bootstrap-time-input-group,5.0,6.0,6.85714,8.0,6.57142,7.0,7.0,6.91358,6.95652,6.78787
ember-bootstrap-typeahead,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-bootstrap-validations,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-botanist,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-bowser,0.0,0.625,0.71428,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-box-utils,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-bp-cpv,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-bpmn-io,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.30434,1.30434,1.27272
ember-braintree,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-braze,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-breadcrumbs,3.75,3.75,3.57142,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.0909
ember-browser-checker,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-browser-update,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-browserify,7.5,8.125,7.85714,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-browsery-stats,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-bs4-collapsible-panel,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-bscomponents,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-buffered-array-promise-proxy,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-buffered-array-proxy,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-buffered-proxy,7.5,8.125,7.85714,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-buffered-proxy-component,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-bug-widget,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-bugsnag,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-build-flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-bulma,5.0,6.0,6.85714,8.0,8.0,8.25,8.25,8.2716,8.26086,8.0606
ember-bulma-css,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.21212
ember-bundle-i18n,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-bundle-select,7.5,7.5,8.57142,8.57142,7.14285,7.5,7.5,7.53086,7.51552,7.33333
ember-burger-menu,6.25,7.25,7.57142,8.71428,8.71428,7.625,7.625,7.65432,7.63975,7.69696
ember-busy-blocker,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-button-select,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-button-spark,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-c3,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.14814,8.13664,8.18181
ember-c3-shim,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-cable,5.0,5.625,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-cached-shoe,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-calendar,6.25,6.25,6.42857,6.42857,6.42857,6.875,6.875,6.91358,6.8944,6.72727
ember-calendar-table,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-calendly,6.25,7.25,8.28571,8.28571,8.28571,7.25,7.25,7.28395,7.26708,7.33333
ember-caliper,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-caluma,7.5,7.5,8.57142,8.57142,8.57142,7.5,7.5,7.53086,7.51552,7.33333
ember-can,7.5,8.125,7.85714,9.0,9.0,9.125,9.125,9.1358,9.13043,9.15151
ember-cancelable-button,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-car,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-card-stacks,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-carousel,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.69696
ember-cart,5.0,5.0,5.71428,6.42857,6.42857,6.875,6.25,6.29629,6.27329,6.12121
ember-cartesian-product,2.5,3.5,4.0,5.14285,5.14285,4.5,4.5,4.44444,4.47204,4.36363
ember-casper-template,3.75,4.375,5.0,5.0,5.0,4.375,4.375,4.32098,4.34782,4.48484
ember-cerebral,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cerebraljs,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-chai-dom-helpers,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.21212
ember-chai-jquery,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-change-tracker,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-changed-relationships,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-changeset,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-changeset-conditional-validations,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.80246,5.77639,5.63636
ember-changeset-cp-validations,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-changeset-history,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-changeset-hofs,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.66666
ember-changeset-validations,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-changeset-validations-template-helpers,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-char-counter,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-character-counter,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.23456,1.24223,1.45454
ember-charts,7.5,8.5,9.0,9.0,9.0,9.125,9.125,9.1358,9.13043,9.15151
ember-chat,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-checkbox-with-label,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.80246,5.77639,5.87878
ember-checkboxes-list,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-checklist,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-chimp,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.30303
ember-chloroform,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-chosen,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,2.12121
ember-chroma-shim,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,5.15151
ember-chrome-devtools,7.5,7.5,7.14285,7.14285,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-ci,3.75,4.75,5.42857,5.42857,5.42857,4.75,4.75,4.81481,4.7826,4.66666
ember-circleci,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-ckeditor5,6.25,6.25,7.14285,7.14285,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-classnames,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.87878
ember-classy-computed,3.75,3.75,4.28571,5.0,5.0,4.375,4.375,4.44444,4.40993,4.30303
ember-classy-page-object,3.75,4.375,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
